Name,Email,Position,Site,Main,Date,Time,Phone,Money,Shift,Avatar,
Francisco Hart,crobles@hotmail.com,Recycle Tech,"Microsoft (CBRE) – Puget Sound, WA",Microsoft (CBRE) – Puget Sound (CBRE),05/28/2021,9:10 PM,(555) 555-5570,"$4,351.00",Day,https://cdn.4insite.com/assets/c4a0cedc304a4ce5823e773cfd378cd2_Arnoldo_t.jpg,https://cdn.4insite.com/image/7f90fd3d4d474a6483c1eccafe02219d_20221202_094143_t.png
Francisco Navarro,animats@mac.com,CSR Lead,"Merck – Boston, MA","Delta - LaGuardia, NY",07/11/2021,3:45 PM,(000) 000-0012,"$1,001.00",Night,https://cdn.4insite.com/assets/6d8af4de2aaf4830b4afeeb317868995_AliciaPrimus_t.jpg,https://cdn.4insite.com/image/a2d5c182f37e4286a7e41983057e0e61_AlejandraPP_t.png
Gertrude Burke,cfhsoft@optonline.net,"CSR, Exterior","Genentech – Hillsboro, OR","Delta - Detroit, MI",07/01/2021,5:25 PM,(666) 666-6679,"$5,666.00",Swing,https://cdn.4insite.com/assets/50391811774747b08381a4916da1d4c8_20240816_072045_t.jpg,https://cdn.4insite.com/image/addec0e6-e0ea-1dc3-c7e8-41565c1672ea_t.png
Gilbert Duffy,amimojo@aol.com,Cleanroom Tech,"HP (JLL) – Palo Alto, CA",Microsoft (CBRE) – Puget Sound (CBRE),04/17/2021,2:00 PM,(666) 666-6676,"$7,324.00",Graveyard,https://cdn.4insite.com/assets/c82f8a6dab1f409fbcc6128af4742c35_Weston_t.jpg,https://cdn.4insite.com/image/b0392430-487e-69f1-1c81-25005fa16c95_t.png
Glen Larsen,tedrlord@comcast.net,Custodial Lead,Hasbro (JLL) – Central Falls,"Delta - LaGuardia, NY",10/21/2021,7:40 AM,(222) 222-224,"$8,244.00",Day,https://cdn.4insite.com/assets/2aaabfc1c8d34c59ad7e469c4207aad4_AMALIAMATEOS_t.jpg,https://cdn.4insite.com/image/bbf4209e88984b958f5c934e7667b29f_HasimeRexhepi_t.png
Glenn Greer,dimensio@att.net,Custodial Lead II,"GE Healthcare – Paducah, KY","Delta - Detroit, MI",06/17/2021,2:05 PM,(777) 777-7787,"$1,813.00",Night,https://cdn.4insite.com/assets/r14876ff55e7c49cbb37f9ed1db6b0221_IMG_08721_t.jpg,https://cdn.4insite.com/image/c504aa93-0312-2c68-1c85-6646852188d3_t.png
Gloria Bolton,arnold182@icloud.com,"Custodial Lead, Safety",Lockheed Martin Space – North Denver Metro,Microsoft (CBRE) – Puget Sound (CBRE),02/24/2020,6:05 PM,(555) 555-5569,"$4,327.00",Swing,https://cdn.4insite.com/assets/b99a141d156b40799d376d5f0ca7c6cc_1000002586_t.jpg,https://cdn.4insite.com/image/d0b90b2e69b2463e83bb6cd741ab5fbc_Eric_t.png
Gordon Crawford,amcuri@outlook.com,Cust Foreperson,"Lockheed Martin Corporate – Denver, CO","Delta - LaGuardia, NY",06/26/2021,8:10 AM,(888) 888-8890,"$1,392.00",Graveyard,https://cdn.4insite.com/assets/067d5aee17754d9898db1d1f6d12d927_AlesajaCrayton_t.jpg,https://cdn.4insite.com/image/d762ead14ffb43b3a7bffc3353eae2d6_Capture_t.png
Harry MacDonald,wsnyder@aol.com,Custodial Supervisor,"Intel (Amentum) – HJL, OR","Delta - Detroit, MI",01/21/2022,10:20 AM,(777) 777-7782,"$9,026.00",Day,https://cdn.4insite.com/assets/f4af2fa5406247e4b22ee422519139ed_ArmandoMunguiaChubb_t.jpg,https://cdn.4insite.com/image/dfecf63caaa94f0ba9f3d91fce6c6608_IMG_7540_t.png
Harvey Ellison,storerm@sbcglobal.net,Customer Service Rep,"Endo Pharmaceuticals Inc – Malvern, PA",Microsoft (CBRE) – Puget Sound (CBRE),02/10/2021,10:10 PM,(888) 888-8904,"$3,659.00",Night,https://cdn.4insite.com/assets/5f1644dcb6cb46e5bfded64ea8133307_IMG_2611_t.jpg,https://cdn.4insite.com/image/e1ba0a04-44f3-511c-e88b-ac9b0a3bcf4c_t.png
Henry Ballard,padme@hotmail.com,Floor Tech,"Microsoft (CBRE) – Puget Sound, WA","Delta - LaGuardia, NY",09/28/2020,7:55 AM,(555) 555-5557,"$5,815.00",Swing,https://cdn.4insite.com/assets/586c0dfdb23545119eefda790711d3f8_IMG_1889_t.jpg,https://cdn.4insite.com/image/e4382979-efe3-0613-770f-74f7f061a95d_t.png
Herbert Lindsey,rddesign34@hotmail.com,GMP Floor Tech,"Lockheed Martin Corporate – Denver, CO","Delta - Detroit, MI",05/20/2020,9:25 PM,(888) 888-8903,"$8,926.00",Graveyard,https://cdn.4insite.com/assets/c011422cd51a4c96b3e6e67af1a3ef34_IMG_2627_t.jpg,https://cdn.4insite.com/image/ee9b823d1b8246cd8d96f4f72918c900_FullSizeRender_t.png
Hilda Mercer,aardo@yahoo.ca,Maintenence Tech,Iron Mountain Singapore (CBRE) – Tuas,Microsoft (CBRE) – Puget Sound (CBRE),05/07/2020,10:15 AM,(666) 666-6671,"$9,515.00",Day,https://cdn.4insite.com/assets/7c18e2f66942433a9cee39601f83eb7d_20230221_130515_t.jpg,https://cdn.4insite.com/image/f7d9ca3e238e4332bce7332228d3fb4f_IMG_8036_t.png
Holly Hammond,dowdy@aol.com,CSR,"Moderna (JLL) – Norwood, MA ","Delta - LaGuardia, NY",08/25/2020,6:10 PM,(666) 666-6680,"$6,706.00",Night,https://cdn.4insite.com/assets/1604509629.9173334_BLewispicture_t.jpg,https://cdn.4insite.com/image/r12c3502d108540008d61b7404397bf78_AdrianaQuihui_t.png
Howard Whitaker,amichalo@yahoo.com,Custodian,Charles Schwab (JLL) – Boulder,"Delta - Detroit, MI",04/07/2022,6:50 AM,(111) 111-1112,"$5,972.00",Swing,https://cdn.4insite.com/assets/r2cbbe1d30f314fdf8281ea25b50625f3_image_t.jpg,https://cdn.4insite.com/image/r132f54adc8944c5c918512e5f8b6894a_1000007852_t.png
Jacob Schwartz,tfinniga@me.com,Custodial Supervisor,"GE Healthcare – Paducah, KY",Microsoft (CBRE) – Puget Sound (CBRE),08/20/2020,6:30 PM,(111) 111-1126,"$2,498.00",Graveyard,https://cdn.4insite.com/assets/9ee70832ab44406b9707a4bda77482b7_CAthy_t.jpg,https://cdn.4insite.com/image/r2d40f3ab68084c50874cf1163069d0ae_Adelina2_t.png
Jacob Whitney,tellis@comcast.net,Sr Custodial Lead,"Boeing (JLL) – O'Fallon, MO","Delta - LaGuardia, NY",12/16/2021,1:55 PM,(555) 555-5565,"$2,754.00",Day,https://cdn.4insite.com/assets/r594bbe6a515d4b3bbc5e6b8d9211898a_MicrosoftTeamsimage6_t.png,https://cdn.4insite.com/image/r424dcc1e79274504899c4c91778e57a7_20251016_160420_t.png
Jacqueline Patterson,gknauss@yahoo.ca,Recycle Tech,Lockheed Martin Space – North Denver Metro,"Delta - Detroit, MI",10/03/2020,1:40 PM,(222) 222-232,"$5,957.00",Night,https://cdn.4insite.com/assets/465c0fd23241404e8859de5b43cdc2ce_image_t.jpg,https://cdn.4insite.com/image/r49e96f4ac0a348f2ba5b79a3f3a82b15_IMG_20260504_165133_t.png
Jason Britt,ovprit@optonline.net,CSR Lead,"State Farm (CBRE) – Duluth, GA",Microsoft (CBRE) – Puget Sound (CBRE),06/09/2020,12:45 PM,(000) 000-0008,"$3,778.00",Swing,https://cdn.4insite.com/assets/6fa34aa76bd24c7f9e02f22bd04fc227_ChinhQuang2_t.jpg,https://cdn.4insite.com/image/r7a7a4d302db841cc9359e1fc7882de75_sharedimage77_t.png
Jeffery Hardy,iamcal@icloud.com,"CSR, Exterior","Juniper (CBRE) – Sunnyvale, CA","Delta - LaGuardia, NY",08/23/2020,6:55 PM,(666) 666-6681,"$9,778.00",Graveyard,https://cdn.4insite.com/assets/ecc3eb7cd1d24059baae90108bbd6513_Resized_R_2_t.jpg,https://cdn.4insite.com/image/rcf164a41b43540659caabd68e115b0fc_Meta_t.png
Jenny Rojas,mallanmba@gmail.com,Cleanroom Tech,"Bayer (JLL) – Chesterfield, MO","Delta - Detroit, MI",04/20/2020,12:10 PM,(222) 222-230,"$4,809.00",Day,https://cdn.4insite.com/image/870c81ae-1282-c1a0-4acc-b7beba7d49c4_t.png,https://cdn.4insite.com/image/rde4fb108feba4dbdad1c09df927d0fe5_20250812_103625_t.png
Jerome Olson,psharpe@hotmail.com,Custodial Lead,Intel (Amentum) – Bowers,Microsoft (CBRE) – Puget Sound (CBRE),01/21/2022,3:35 PM,(777) 777-7789,"$1,682.00",Night,https://cdn.4insite.com/assets/6089d1e951924c5ebc8f1724c05899d8_EarleneWoodson_t.jpg,https://cdn.4insite.com/image/red1d9fed2f9243289517b8636f8e09ca_1000000478_t.png
Jessica Dunn,makarow@gmail.com,Custodial Lead II,Cigna (CBRE) – Arizona,"Delta - LaGuardia, NY",11/19/2020,11:05 AM,(777) 777-7783,"$6,454.00",Swing,https://cdn.4insite.com/image/b0392430-487e-69f1-1c81-25005fa16c95_t.png,https://cdn.4insite.com/image/rf6d0285e3355413d8caea14c37c5f54f_AdrianaIniguez_t.png
Jo Suarez,dkrishna@mac.com,"Custodial Lead, Safety","HP (JLL) – Aguadilla, PR ","Delta - Detroit, MI",07/30/2020,6:00 AM,(999) 999-9999,"$213,213.34",Graveyard,https://cdn.4insite.com/assets/b0c36261e68d4e3fb8cd26414edd0af2_IMG_20221104_58325_t.jpg,https://cdn.4insite.com/image/64d3d91b-36e2-3cba-3b25-ef668df1dcdf_t.png
Joann Gray,uncled@outlook.com,Cust Foreperson,Uber (CBRE) – Burbank,Microsoft (CBRE) – Puget Sound (CBRE),04/21/2022,8:40 PM,(444) 444-4460,"$3,739.00",Day,https://cdn.4insite.com/image/20046cbc-7544-e32a-e889-cd0947769de0_t.png,https://cdn.4insite.com/image/443ead305a924cecb2bcca177ab251ad_DestinyPicture_t.png
Joanne Washington,fallorn@yahoo.com,Custodial Supervisor,"E&J Gallo Winery – Modesto, CA","Delta - LaGuardia, NY",12/14/2020,1:35 PM,(111) 111-1121,"$4,053.00",Night,https://cdn.4insite.com/assets/2c255452075840f0b48a9e6800722b24_aliver_t.jpg,https://cdn.4insite.com/image/2aaabfc1c8d34c59ad7e469c4207aad4_AMALIAMATEOS_t.png
Joel Walls,wmszeliga@sbcglobal.net,Customer Service Rep,Charles Schwab (JLL) – Abilene,"Delta - Detroit, MI",10/19/2021,7:30 PM,(888) 888-8902,$656.00,Swing,https://cdn.4insite.com/assets/56aac24b0c5e4f29813e537865eeca0b_IMG_20210922_160106009_t.jpg,https://cdn.4insite.com/image/d45e8261ad75439e820a04b10ca2341a_Gerardo_t.png
Jose Lawson,bradl@hotmail.com,Floor Tech,IBM (SG) (CBRE) – MBFC,Microsoft (CBRE) – Puget Sound (CBRE),04/06/2021,1:30 PM,(000) 000-0009,"$1,128.00",Graveyard,https://cdn.4insite.com/assets/1600109314.2572758_ScreenShot20200914at11.48_t.18AM,https://cdn.4insite.com/image/c22244a3a27748e4a3ec9c3c7bc6cc7d_EliazarMartinezpicture_t.png
Josephine McCarthy,dsugal@sbcglobal.net,GMP Floor Tech,"HP (JLL) – Aguadilla, PR ","Delta - LaGuardia, NY",02/16/2020,7:15 PM,(555) 555-5569,"$7,932.00",Day,https://cdn.4insite.com/image/48e0c0be-23ad-8b1b-abf9-ad8143e5c597_t.png,https://cdn.4insite.com/image/a9e4c0d3983041c89e44f3b70d6cd7ea_processed9cf7fbbcb6974c2a96f1f6a1e0b2246e_NS0GrQ1h_t%20%281%29.png
Joshua Reid,notaprguy@me.com,Maintenence Tech,"Admedes – Admedes, Cartago","Delta - Detroit, MI",12/05/2020,7:50 PM,(333) 333-3348,"$4,829.00",Night,https://cdn.4insite.com/assets/c49499a125c44bfd92aa5a21e982fe57_20221202_094054_t.jpg,https://cdn.4insite.com/image/9582ac79ea0a4c6b81bac5f873ace89b_FernnadoMaldonadoCarlon_t.png
Joyce Burns,bbirth@yahoo.com,CSR,"Nestle – ST. Joseph, MO - Purina ",Microsoft (CBRE) – Puget Sound (CBRE),06/28/2021,10:00 AM,(333) 333-3338,"$4,035.00",Swing,https://cdn.4insite.com/assets/1614806764.1993403_alex_t.png,https://cdn.4insite.com/image/r41cbee694fa448b18d03560e8c058a36_sharedimage85_t.png
Judith Cabrera,jdhedden@comcast.net,Custodian,"GE Healthcare – Chicago, IL","Delta - LaGuardia, NY",02/23/2020,12:25 PM,(555) 555-5563,"$4,015.00",Graveyard,https://cdn.4insite.com/assets/1594678941.8834553_seraheadshot_t.jpg,https://cdn.4insite.com/image/de7b5dbdff6947ec8579383db7ecab23_dionne_t.png
Judy Camacho,comdig@mac.com,Custodial Supervisor,"Genentech – Hillsboro, OR","Delta - Detroit, MI",09/25/2021,8:35 AM,(444) 444-4447,"$8,303.00",Day,https://cdn.4insite.com/assets/1583421735.1421053_AlyceSaylor2_t.jpg,https://cdn.4insite.com/image/d210c43d6800476fa54d6bc11bc1671e_1000035160_t.png
Judy Talley,world@sbcglobal.net,Sr Custodial Lead,Hasbro (JLL) – Central Falls,Microsoft (CBRE) – Puget Sound (CBRE),01/10/2022,12:05 PM,(111) 111-1119,"$5,097.00",Night,https://cdn.4insite.com/image/b5b7a212-2846-4b11-fd95-50c0642d2563_t.png,https://cdn.4insite.com/image/racba52fe01a94201948c713b243320b7_Fye_t.png
Julian Booth,jorgb@icloud.com,Recycle Tech,AT&T (CBRE) – Singapore,"Delta - LaGuardia, NY",01/03/2021,9:55 AM,(222) 222-227,"$5,377.00",Swing,https://cdn.4insite.com/image/f8e5ed6b-be8f-135c-b5e9-23e71de4062d_t.png,https://cdn.4insite.com/image/ra61e3788cd9a406e9feead0398076835_FaizaAbdirahman_t.png
Julie Guerrero,gordonjcp@outlook.com,CSR Lead,NIKE – Adapt,"Delta - Detroit, MI",12/23/2021,6:20 AM,(444) 444-4444,"$720,230.30",Graveyard,https://cdn.4insite.com/assets/1614178054.708322_AndreaPerrett_t.jpg,https://cdn.4insite.com/image/ra09f1830355444b594f9d1bff9db3d73_file_000000004f5071f7a76d0c997440972a1_t.png
Justin Greene,ryanshaw@icloud.com,"CSR, Exterior",Asurion (JLL) – Gulch,Microsoft (CBRE) – Puget Sound (CBRE),10/23/2020,12:55 PM,(222) 222-231,"$1,167.00",Day,https://cdn.4insite.com/assets/e30999eb4957434692210811489f7f94_ChristyR_t.jpg,https://cdn.4insite.com/image/rda12566409ff4d97861069a17547c11c_1000007948_t.png
Katrina Albert,parents@msn.com,Cleanroom Tech,IBM (SG) (CBRE) – MBFC,"Delta - LaGuardia, NY",03/18/2021,5:55 PM,(333) 333-3347,"$4,489.00",Night,https://cdn.4insite.com/image/7306ac44-047d-bbd9-2582-c0d8c7084933_t.png,https://cdn.4insite.com/image/05bd3b28-b1be-4f55-80ac-6bd41fa07968_t.png
Keith Hawkins,miltchev19@sbcglobal.net,Custodial Lead,Wells Fargo (CBRE) – Campus - MN,"Delta - Detroit, MI",07/20/2020,8:45 PM,(555) 555-5571,"$7,649.00",Swing,https://cdn.4insite.com/assets/503bbc9547a8497cb44bd0cf8cd21841_IMG_20221104_45991_t.jpg,https://cdn.4insite.com/image/1582093447.933793_IMG_30041_t.png
Kenneth Blanchard,mbswan@outlook.com,Custodial Lead II,AT&T (CBRE) – Singapore,Microsoft (CBRE) – Puget Sound (CBRE),01/14/2020,2:20 PM,(111) 111-1122,"$7,229.00",Graveyard,https://cdn.4insite.com/assets/f3d4c5f052e3418d91a87e630d46d25f_2_t.jpg,https://cdn.4insite.com/image/1580527295.3800085_20200130_175733_resized_t.png
Kent Chang,suresh@mac.com,"Custodial Lead, Safety","Juniper (CBRE) – Sunnyvale, CA","Delta - LaGuardia, NY",04/05/2020,2:30 PM,(333) 333-3344,"$6,396.00",Day,https://cdn.4insite.com/image/71e06da2-0baf-5fde-7763-c0abd59347e6_t.png,https://cdn.4insite.com/image/rb879cfafa58844bda39629d8efe20534_RalphProfile_t.png
Kimberly Sharpe,jschauma@verizon.net,Cust Foreperson,"Textron – Sacramento, CA","Delta - Detroit, MI",01/02/2020,9:45 AM,(000) 000-0004,"$6,919.00",Night,https://cdn.4insite.com/image/a148ebfa-65da-2799-1072-9acfae6753e6_t.png,https://cdn.4insite.com/image/r70a56d53dcb1406d9fc497c26ac7f3ea_Pham_t.png
Kristin Oliver,tlinden@mac.com,Custodial Supervisor,"Bayer (JLL) – Chesterfield, MO",Microsoft (CBRE) – Puget Sound (CBRE),12/27/2020,9:00 PM,(888) 888-8904,"$9,320.00",Swing,https://cdn.4insite.com/assets/1608127214.275704_BrandonRodrigues_t.jpg,https://cdn.4insite.com/image/01713d45bf964b82a782824361ab88fe_HungNguyen_t.png
Kristina Oliver,giafly@outlook.com,Customer Service Rep,"Boeing (JLL) – O'Fallon, MO","Delta - LaGuardia, NY",03/26/2022,9:30 AM,(666) 666-6670,"$3,114.00",Graveyard,https://cdn.4insite.com/assets/1577776047.9164042_yes2_t.jpg,https://cdn.4insite.com/image/067d5aee17754d9898db1d1f6d12d927_AlesajaCrayton_t.png
Leslie Blair,makarow@att.net,Floor Tech,"Textron – Sacramento, CA","Delta - Detroit, MI",07/13/2020,2:10 PM,(888) 888-8898,"$5,178.00",Day,https://cdn.4insite.com/image/0ce0b502-777f-5289-30a1-39e05e4ab40f_t.png,https://cdn.4insite.com/image/1587958332.0398617_LNguyen_t.png
Linda Nielsen,evilopie@yahoo.com,GMP Floor Tech,"Bayer (JLL) – Chesterfield, MO",Microsoft (CBRE) – Puget Sound (CBRE),12/10/2020,7:45 AM,(333) 333-3335,"$9,801.00",Night,https://cdn.4insite.com/assets/7f90fd3d4d474a6483c1eccafe02219d_20221202_094143_t.jpg,https://cdn.4insite.com/image/1594678941.8834553_seraheadshot_t.png
Lois Shelton,esbeck@live.com,Maintenence Tech,"Discovery Labs (CBRE) – King of Prussia, PA","Delta - LaGuardia, NY",05/26/2021,1:15 PM,(666) 666-6675,"$3,301.00",Swing,https://cdn.4insite.com/assets/4149e7a1c9884b5790d0816c59232625_PDCpics011_t.jpg,https://cdn.4insite.com/image/1faba6540d1046ce8f74582cd5134dca_a3f56ef4a1584863a5be7843fca568cb_t.png
Lori Prince,ilial@yahoo.ca,CSR,"Nestle – Bridgewater, NJ - Healthcare","Delta - Detroit, MI",09/04/2021,4:00 PM,(333) 333-3346,"$2,208.00",Graveyard,https://cdn.4insite.com/image/c4eca239-09b2-b0e5-fead-226214e743c0_t.png,https://cdn.4insite.com/image/20046cbc-7544-e32a-e889-cd0947769de0_t.png
Lorraine Carr,zavadsky@outlook.com,Custodian,"Lockheed Martin Corporate – Denver, CO",Microsoft (CBRE) – Puget Sound (CBRE),10/23/2021,12:35 PM,(777) 777-7785,"$5,711.00",Day,https://cdn.4insite.com/assets/ceaa86784444447f97140fd773a7b7e6_IMG_5952_t.jpg,https://cdn.4insite.com/image/22cfeacabaf341eaa1f59f5b57dcc392_sharedimage79_t.png
Luis Kerr,petersen@mac.com,Custodial Supervisor,Intel (Amentum) – Bowers,"Delta - LaGuardia, NY",02/03/2022,6:45 AM,(000) 000-0000,"$5,918.00",Night,https://cdn.4insite.com/assets/rfafbb2760ff245ceb385db497dbe18c0_image_t.jpg,https://cdn.4insite.com/image/3c4fbb51f327498a8b14592ba244d15d_20221116_063815_t.png
Lydia Caldwell,microfab@optonline.net,Sr Custodial Lead,Charles Schwab (JLL) – Abilene,"Delta - Detroit, MI",08/08/2020,3:05 PM,(111) 111-1123,$220.00,Swing,https://cdn.4insite.com/image/7f6b89e0-04e5-907e-8d03-4c044712fc6e_t.png,https://cdn.4insite.com/image/41fd825c-ce0a-63c1-96d4-3a323caaacc8_t.png
Lynn Singleton,sekiya@att.net,Recycle Tech,Johnson & Johnson – Janssen-Raritan,Microsoft (CBRE) – Puget Sound (CBRE),02/07/2022,10:00 PM,(666) 666-6682,"$1,067.00",Graveyard,https://cdn.4insite.com/image/cd7aac60-6f50-5751-3ec9-48b7926cab7e_t.png,https://cdn.4insite.com/image/46e26cd24a2d4410af6a7fcaca905c5a_Frankklyn_t.png
Marcus Frost,peoplesr@comcast.net,CSR Lead,"Mercedes Benz – Ann Arbor, MI","Delta - LaGuardia, NY",02/11/2021,7:20 PM,(666) 666-6680,"$8,862.00",Day,https://cdn.4insite.com/image/72e0ab8c-59c4-ad0c-1675-e02b0a26b5be_t.png,https://cdn.4insite.com/image/4899f1471ead4e598426aa8bc601cb12_IMELDAB_t.png
Margaret Gomez,madler@mac.com,"CSR, Exterior",NIKE – Adapt,"Delta - Detroit, MI",03/22/2022,7:35 PM,(000) 000-0014,"$3,763.00",Night,https://cdn.4insite.com/image/69561eb4-5acb-44ce-3402-320f2adfea88_t.png,https://cdn.4insite.com/image/4e3ef40aee0045d4abb5a540c7770611_mcpic2_t.png
Marie Small,bockelboy@msn.com,Cleanroom Tech,Delta (JLL) – Cargo DFW,Microsoft (CBRE) – Puget Sound (CBRE),01/10/2022,8:50 PM,(666) 666-6682,"$1,547.00",Swing,https://cdn.4insite.com/assets/refb967dcb56840489fab507c47056d2c_profilepic2026_t.jpg,https://cdn.4insite.com/image/59828af3b0ec4d31a45e4bfa00964e64_Hajrudin_t.png
Marilyn Wolf,bmidd@optonline.net,Custodial Lead,Iron Mountain Singapore (CBRE) – Tuas,"Delta - LaGuardia, NY",07/24/2020,2:40 PM,(555) 555-5566,"$1,576.00",Graveyard,https://cdn.4insite.com/image/e2841eff-3ff3-a6f7-998d-9c894965fbde_t.png,https://cdn.4insite.com/image/5f1644dcb6cb46e5bfded64ea8133307_IMG_2611_t.png
Marjorie Salinas,jaffe@att.net,Custodial Lead II,Johnson & Johnson – Janssen-Raritan,"Delta - Detroit, MI",03/16/2022,5:35 PM,(888) 888-8901,"$6,843.00",Day,https://cdn.4insite.com/image/3039c49d-c687-a137-9faa-74d272a12057_t.png,https://cdn.4insite.com/image/6f8f0adb4d6e48a78d3d161319c23f47_AdrainaManrique_t.png
Mark Morales,danneng@optonline.net,"Custodial Lead, Safety","Moderna (JLL) – Norwood, MA ",Microsoft (CBRE) – Puget Sound (CBRE),01/08/2020,9:20 AM,(444) 444-4448,"$3,318.00",Night,https://cdn.4insite.com/image/3eef672f-3a70-5deb-a1a2-1bba22094b80_t.png,https://cdn.4insite.com/image/7f90fd3d4d474a6483c1eccafe02219d_20221202_094143_t.png
Marsha Burgess,johndo@gmail.com,Cust Foreperson,"HP (JLL) – Palo Alto, CA","Delta - LaGuardia, NY",03/31/2021,9:35 AM,(777) 777-7781,"$6,098.00",Swing,https://cdn.4insite.com/assets/1579645815.2171333_EdithBuruca_t.jpg,https://cdn.4insite.com/image/a2d5c182f37e4286a7e41983057e0e61_AlejandraPP_t.png
Marshall Fisher,makarow@sbcglobal.net,Custodial Supervisor,"Technicolor (CBRE) – Memphis, TN","Delta - Detroit, MI",09/04/2020,9:00 AM,(000) 000-0003,"$2,631.00",Graveyard,https://cdn.4insite.com/image/845bcb1a-47ce-a7a8-f040-22aa690c1c7e_t.png,https://cdn.4insite.com/image/addec0e6-e0ea-1dc3-c7e8-41565c1672ea_t.png
Mary Carney,mwilson@mac.com,Customer Service Rep,DuPont – Buffalo,Microsoft (CBRE) – Puget Sound (CBRE),12/12/2021,7:20 AM,(777) 777-7778,"$9,834.00",Day,https://cdn.4insite.com/assets/2c255452075840f0b48a9e6800722b24_aliver_t.jpg,https://cdn.4insite.com/image/b0392430-487e-69f1-1c81-25005fa16c95_t.png
Matthew Baird,kildjean@icloud.com,Floor Tech,AT&T (CBRE) – Singapore,"Delta - LaGuardia, NY",03/05/2021,6:45 PM,(444) 444-4459,"$5,430.00",Night,https://cdn.4insite.com/assets/r9a9b2081f9da4fb296757daec33b0a30_16964434059926868957377690406225_t.jpg,https://cdn.4insite.com/image/bbf4209e88984b958f5c934e7667b29f_HasimeRexhepi_t.png
Megan Riddle,bahwi@verizon.net,GMP Floor Tech,DuPont – Buffalo,"Delta - Detroit, MI",08/04/2021,11:45 AM,(666) 666-6673,"$5,676.00",Swing,https://cdn.4insite.com/image/64d3d91b-36e2-3cba-3b25-ef668df1dcdf_t.png,https://cdn.4insite.com/image/c504aa93-0312-2c68-1c85-6646852188d3_t.png
Melinda Rose,bflong@icloud.com,Maintenence Tech,"Merck (Sodexo) – Branchburg, NJ",Microsoft (CBRE) – Puget Sound (CBRE),11/06/2021,4:05 PM,(444) 444-4457,"$5,455.00",Graveyard,https://cdn.4insite.com/assets/375f69e40ded4cb7be9baa2cc7429eb0_20241215_140710_t.jpg,https://cdn.4insite.com/image/d0b90b2e69b2463e83bb6cd741ab5fbc_Eric_t.png
Melvin Moran,rjones@sbcglobal.net,CSR,"Illumina – San Diego, CA","Delta - LaGuardia, NY",11/06/2020,2:15 PM,(000) 000-0010,"$5,156.00",Day,https://cdn.4insite.com/assets/r2d40f3ab68084c50874cf1163069d0ae_Adelina2_t.jpg,https://cdn.4insite.com/image/d762ead14ffb43b3a7bffc3353eae2d6_Capture_t.png
Micheal Byers,brainless@att.net,Custodian,Charles Schwab (JLL) – Abilene,"Delta - Detroit, MI",10/24/2020,10:40 AM,(222) 222-228,"$1,371.00",Night,https://cdn.4insite.com/assets/909695ae86d84dd5917532dd3037af8c_AgustinaGarcia_DB_1_t.jpg,https://cdn.4insite.com/image/dfecf63caaa94f0ba9f3d91fce6c6608_IMG_7540_t.png
Miguel Rodriguez,kimvette@hotmail.com,Custodial Supervisor,"State Farm (CBRE) – Duluth, GA",Microsoft (CBRE) – Puget Sound (CBRE),04/14/2021,9:35 PM,(111) 111-1127,$680.00,Swing,https://cdn.4insite.com/assets/98e43f08a54d44efb022f444da0a392d_Anthony_t.jpg,https://cdn.4insite.com/image/e1ba0a04-44f3-511c-e88b-ac9b0a3bcf4c_t.png
Misty Summers,arachne@outlook.com,Sr Custodial Lead,Wells Fargo (CBRE) – Campus - MN,"Delta - LaGuardia, NY",05/15/2021,11:55 AM,(888) 888-8895,"$7,340.00",Graveyard,https://cdn.4insite.com/assets/c4a0cedc304a4ce5823e773cfd378cd2_Arnoldo_t.jpg,https://cdn.4insite.com/image/e4382979-efe3-0613-770f-74f7f061a95d_t.png
Morris Floyd,kawasaki@msn.com,Recycle Tech,Cigna (CBRE) – Arizona,"Delta - Detroit, MI",04/13/2022,6:40 AM,(888) 888-8888,"$4,326.00",Day,https://cdn.4insite.com/assets/6d8af4de2aaf4830b4afeeb317868995_AliciaPrimus_t.jpg,https://cdn.4insite.com/image/ee9b823d1b8246cd8d96f4f72918c900_FullSizeRender_t.png
Myrtle Dodson,kudra@yahoo.com,CSR Lead,Delta (JLL) – Cargo DFW,Microsoft (CBRE) – Puget Sound (CBRE),05/09/2020,12:00 PM,(000) 000-0007,"$6,841.00",Night,https://cdn.4insite.com/assets/50391811774747b08381a4916da1d4c8_20240816_072045_t.jpg,https://cdn.4insite.com/image/f7d9ca3e238e4332bce7332228d3fb4f_IMG_8036_t.png
Naomi Fuentes,tmccarth@optonline.net,"CSR, Exterior",,"Delta - LaGuardia, NY",03/18/2020,7:45 PM,(222) 222-237,"$1,970.00",Swing,https://cdn.4insite.com/assets/c82f8a6dab1f409fbcc6128af4742c35_Weston_t.jpg,https://cdn.4insite.com/image/r12c3502d108540008d61b7404397bf78_AdrianaQuihui_t.png
Natalie Bridges,sisyphus@comcast.net,Cleanroom Tech,GE Aviation – Additive (West Chester),"Delta - Detroit, MI",08/31/2021,4:10 PM,(555) 555-5568,"$5,622.00",Graveyard,https://cdn.4insite.com/assets/2aaabfc1c8d34c59ad7e469c4207aad4_AMALIAMATEOS_t.jpg,https://cdn.4insite.com/image/r132f54adc8944c5c918512e5f8b6894a_1000007852_t.png
